rank_mi,rank_t,freq,Freq(R),mi,t,collocate
11557,1,10348,3910,3.5635,93.121247,，/x
11275,4,3855,2468,3.7579,57.498993,了/ul
12959,3,4404,1793,3.2961,59.606395,的/uj
12032,2,4414,1208,3.3777,60.045998,。/x
5327,11,811,804,5.2119,27.709703,想起/v
11538,5,2056,749,3.586,41.567339,他/r
9165,10,928,736,4.1008,28.687605,又/d
12013,14,771,718,3.4052,25.145899,：/x
13286,9,1086,684,3.1294,29.1885,在/p
6366,12,721,629,4.4179,25.59532,起来/v
13311,8,1256,495,3.1131,31.343981,我/r
9869,17,609,487,3.8195,22.930044,一个/m
11770,6,1257,455,3.5525,32.432437,她/r
13093,16,673,425,3.2067,23.132249,说/v
5396,20,438,410,5.0469,20.295354,想到/v
9877,19,478,361,3.8054,20.299484,一/m
11837,18,543,352,3.5051,21.250008,地/uv
5405,26,360,344,4.9642,18.365821,听见/v
12025,22,453,320,3.3999,19.267405,有/v
12888,24,435,315,3.3644,18.831426,来/v
9831,28,349,314,3.8558,17.39119,从/p
9537,23,416,308,4.0344,19.151368,想/v
5548,31,286,282,4.8826,16.338228,发现/v
5561,30,290,274,4.8255,16.428812,听到/v
6099,32,284,268,4.6619,16.186591,感到/v
13355,41,274,249,3.0726,14.585431,把/p
11768,21,463,241,3.5606,19.693734,到/v
5566,33,280,233,4.8025,16.133555,一阵/m
11826,34,304,226,3.5174,15.912977,自己/r
11794,47,246,221,3.5329,14.329363,对/p
6369,40,235,208,4.4075,14.607344,一声/m
13234,15,696,193,3.1674,23.445423,着/uz
9815,53,201,182,3.8816,13.215598,叫/v
5565,58,148,146,4.8048,11.730275,变得/v
11986,29,334,145,3.4364,16.587548,里/f
6098,61,139,132,4.6625,11.3243,出现/v
13095,46,260,126,3.2002,14.370131,什么/r
11552,62,148,125,3.5768,11.145967,道/q
13308,38,315,123,3.1148,15.699351,上/f
11346,57,183,123,3.6837,12.475023,声音/n
9185,59,149,117,4.0815,11.485558,起/v
9549,70,131,114,4.0112,10.735734,一种/m
6337,71,124,113,4.4915,10.640478,一件/m
6376,75,120,111,4.3701,10.424731,有人/r
13235,52,230,110,3.1671,13.47742,得/ud
5562,79,112,109,4.8199,10.208325,传来/v
12926,7,1283,106,3.3158,32.221844,”/x
5522,73,118,101,4.949,10.511105,之间/f
11774,64,144,95,3.5429,10.970408,笑/v
6358,87,102,92,4.4501,9.637461,明白/nr
11343,82,117,91,3.6859,9.976187,出/v
12023,69,142,90,3.4009,10.788253,事/n
5557,97,87,86,4.8473,9.003356,停住/v
9865,72,129,85,3.823,10.555267,似的/u
11527,55,191,83,3.5988,12.679614,中/f
12985,81,127,82,3.2793,10.108725,像/v
11987,84,117,80,3.4364,9.817482,看见/v
6243,102,85,79,4.5897,8.836659,变成/v
11409,76,126,78,3.6366,10.322457,一下/m
12925,91,106,77,3.3167,9.262333,向/p
5397,107,78,75,5.0408,8.563471,意识/n
5338,113,75,74,5.1071,8.408986,响起/v
6336,108,80,74,4.4924,8.546899,大声/m
5337,116,72,69,5.1138,8.24023,发觉/v
12896,89,110,68,3.3377,9.450699,大/a
11966,122,79,66,3.4499,8.074834,很/zg
6357,120,73,63,4.4514,8.153484,不见/v
13002,88,114,62,3.2605,9.562942,听/v
9814,118,77,62,3.882,8.179804,哭/v
9590,67,135,62,3.9834,10.88438,心里/s
6338,140,63,60,4.4894,7.583897,变/v
11541,110,85,59,3.5848,8.451151,头/n
13227,101,99,59,3.173,8.84665,觉得/v
8843,144,61,58,4.3009,7.413998,发出/v
11923,148,65,54,3.4736,7.336512,将/d
9818,156,59,54,3.8777,7.15862,喊/v
12956,83,120,54,3.2969,9.839832,这个/r
13364,119,86,53,3.0549,8.157732,站/v
6321,150,58,53,4.5002,7.279248,亮/v
11536,145,65,52,3.5916,7.393492,一只/m
13352,100,101,52,3.0742,8.856584,而/c
11549,111,85,50,3.5799,8.448528,好像/v
11910,94,102,50,3.488,9.199358,下/f
9148,132,67,50,4.1143,7.712737,后面/f
12887,68,143,50,3.3676,10.799718,会/v
11267,133,69,49,3.7782,7.701193,一句/m
13919,134,77,48,3.0296,7.700369,个/q
11355,56,184,48,3.677,12.504104,；/x
9540,163,54,48,4.027,6.897705,发生/v
13092,25,428,47,3.2092,18.451265,…/x
5523,181,47,47,4.9247,6.629942,产生/n
8854,167,52,47,4.2892,6.842281,停/v
9879,197,47,45,3.7852,6.358381,问道/n
11504,170,55,45,3.6123,6.809801,开/v
6246,179,48,44,4.5801,6.638547,停止/v
13059,139,72,44,3.2409,7.587708,那个/r
12894,157,62,44,3.3413,7.097134,手/n
13094,114,89,43,3.202,8.408824,—/x
9875,164,55,43,3.8117,6.888046,一片/m
6375,63,134,43,4.3755,11.018158,一天/m
,,49112,,,,
