rank_mi,rank_t,freq,Freq(R),mi,t,collocate
11011,1,9731,4115,3.5729,90.356346,，/x
9275,4,3980,2941,3.7987,58.553779,了/ul
11515,2,5282,2082,3.3452,65.525871,的/uj
11475,3,4626,1865,3.3901,61.527022,。/x
11305,5,2174,885,3.4895,42.474861,他/r
4896,10,875,847,5.1236,28.731886,出现/v
12599,7,1213,688,3.1685,30.9545,在/p
8388,11,873,633,4.2167,27.95746,又/d
8336,13,651,576,4.289,24.209548,从/p
4925,14,542,528,5.0507,22.578473,变得/v
4976,17,480,466,4.9517,21.200946,发现/v
4897,16,495,461,5.1212,21.609358,之间/f
11427,6,1187,448,3.4232,31.241083,她/r
8391,18,485,407,4.1973,20.822259,起来/v
9258,15,586,396,3.8171,22.48994,一个/m
12738,22,435,373,3.1477,18.50327,：/x
10754,24,380,293,3.741,18.0357,一/m
5134,28,309,292,4.764,16.931423,听到/v
12853,23,436,252,3.0765,18.405335,地/uv
5571,34,275,238,4.7446,15.964557,一阵/m
5852,46,233,211,4.4408,14.561487,一声/m
9138,49,218,201,3.9181,13.788154,向/p
12561,42,271,191,3.2124,14.686048,来/v
5117,52,191,188,4.8355,13.336214,传来/v
4888,53,188,186,5.1683,13.330018,停住/v
9260,37,291,181,3.8158,15.847364,像/v
8614,54,198,181,4.0755,13.236608,叫/v
5133,58,173,171,4.7695,12.670699,变成/v
12415,8,1107,159,3.3177,29.934626,”/x
4906,62,164,159,5.0851,12.428967,停止/v
4979,66,160,158,4.9221,12.231884,产生/n
8471,67,164,151,4.1455,12.082642,出/v
5093,70,154,150,4.8805,11.98839,变/v
12460,41,273,145,3.2614,14.799687,他们/r
5844,60,174,141,4.4469,12.586075,发生/v
8972,63,174,141,4.003,12.368185,一种/m
9208,64,174,134,3.853,12.278024,使/v
5128,78,140,134,4.7846,11.402878,停/v
5750,75,144,132,4.574,11.496196,听见/v
12851,45,274,131,3.0797,14.595069,到/v
11328,30,334,128,3.4671,16.623008,里/f
5805,83,133,125,4.4953,11.021229,发出/v
12877,56,215,124,3.0579,12.902113,自己/r
8419,85,129,117,4.1913,10.736085,下来/t
4907,91,118,116,5.0779,10.541169,冒/v
12879,38,306,112,3.055,15.388055,上/f
5612,92,120,108,4.6344,10.513392,一下子/m
9272,55,200,107,3.8013,13.127719,声音/n
9037,82,140,103,3.9211,11.051076,一下/m
5135,100,109,102,4.7543,10.05347,决定/v
4931,101,104,102,5.0241,9.88462,停下/v
11394,68,177,101,3.4427,12.080557,—/x
12413,19,503,100,3.3291,20.196041,…/x
4882,104,100,95,5.2508,9.737361,发现自己/l
9276,99,121,91,3.7943,10.207128,出来/v
10804,44,253,88,3.6704,14.656673,中/f
8344,96,117,87,4.2745,10.257734,面前/f
4930,106,92,86,5.0255,9.297178,停下来/v
12507,84,152,84,3.223,11.008456,被/p
10897,89,134,84,3.6,10.621206,一样/r
12412,72,168,83,3.3306,11.673059,而/c
4884,110,85,83,5.2364,8.974985,冒出来/v
12849,51,232,80,3.0843,13.435664,"""/x"
8647,21,415,80,4.029,19.123659,会/v
12896,69,187,79,3.0315,12.002419,得/ud
10990,109,96,78,3.5934,8.986209,道/q
5620,120,81,76,4.5979,8.628341,脚步/n
4880,122,77,75,5.2978,8.551898,中断/ns
10755,94,125,71,3.7308,10.338205,感到/v
11471,71,169,68,3.3959,11.76495,这个/r
9000,97,120,66,3.9563,10.248756,似的/u
4887,140,66,66,5.1698,7.898348,发作/vn
5091,142,66,64,4.9035,7.8526,发觉/v
8598,132,76,62,4.107,8.211896,有人/r
9025,153,66,62,3.953,7.599461,一句/m
12418,98,130,61,3.3046,10.247834,这样/r
11476,77,161,59,3.3896,11.477891,；/x
5572,125,75,58,4.7435,8.336958,变化/vn
5092,155,60,56,4.8842,7.483671,亮/v
8650,129,78,56,4.0203,8.2875,一片/m
10896,95,126,55,3.6013,10.3001,因为/c
4894,171,54,54,5.1355,7.13942,冒出/v
11434,167,63,53,3.4113,7.191182,起/v
5831,176,54,52,4.475,7.018037,不见/v
9038,166,60,51,3.9198,7.23417,想起/v
8348,192,52,50,4.2671,6.83658,充满/a
10766,163,62,49,3.7116,7.272986,倒/v
4902,179,52,49,5.1045,7.001507,去世/t
10992,136,77,48,3.5904,8.046468,这么/r
12459,135,82,48,3.2619,8.1114,下/f
12492,86,144,47,3.238,10.728102,它/r
10872,190,56,47,3.6265,6.877402,跳/v
10811,193,55,47,3.6568,6.828189,以/p
9284,137,75,46,3.7889,8.033689,一只/m
12770,158,70,45,3.1198,7.40413,大/a
11052,123,86,45,3.5517,8.482766,",/x"
8334,209,46,44,4.3038,6.438929,冲/v
11284,143,74,44,3.5054,7.844808,那么/r
11517,133,83,43,3.3392,8.210228,觉得/v
12506,147,74,43,3.2269,7.683511,开始/v
