rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
1,桃红柳绿/i,4,2,2,2,6.3348
2,浪峰/n,4,2,2,2,6.3348
3,四五百年/m,4,2,2,2,6.3348
4,又会有/l,4,2,2,2,6.3348
5,减退/v,4,2,0,4,6.3348
6,候补/b,4,2,2,2,6.3348
7,琐/ag,4,2,2,2,6.3348
8,可想/v,2,1,1,1,6.3348
9,歌厅/n,2,1,1,1,6.3348
10,水妖/n,2,1,1,1,6.3348
11,请柬/n,2,1,1,1,6.3348
12,白雾/n,2,1,1,1,6.3348
13,起跑/v,2,1,1,1,6.3348
14,撤去/v,2,1,1,1,6.3348
15,不为人知/i,2,1,1,1,6.3348
16,语塞/n,6,4,2,4,5.9198
17,酒吧间/n,3,2,1,2,5.9198
18,断层/n,3,2,2,1,5.9198
19,叫骂声/i,3,2,2,1,5.9198
20,当上/t,4,3,2,2,5.7499
21,第十六章/m,4,3,2,2,5.7499
22,发病/v,16,14,2,14,5.5275
23,不辞而别/i,10,10,0,10,5.3348
24,下起/v,8,8,0,8,5.3348
25,亮起/v,8,8,0,8,5.3348
26,雨来/t,7,7,0,7,5.3348
27,停息/v,7,7,0,7,5.3348
28,一站/m,7,7,0,7,5.3348
29,不告而别/i,6,6,1,5,5.3348
30,冷冰冰/nr,6,6,2,4,5.3348
31,志向/n,6,6,4,2,5.3348
32,俯冲/v,5,5,0,5,5.3348
33,中跳/ns,5,5,0,5,5.3348
34,伸直/v,5,5,0,5,5.3348
35,面无人色/i,5,5,1,4,5.3348
36,变脸/v,4,4,0,4,5.3348
37,王氏/nr,4,4,4,0,5.3348
38,死命/n,4,4,1,3,5.3348
39,一反常态/l,4,4,0,4,5.3348
40,友好/a,4,4,2,2,5.3348
41,松手/n,4,4,2,2,5.3348
42,聊着/v,4,4,4,0,5.3348
43,剧痛/n,4,4,0,4,5.3348
44,拦腰/v,4,4,0,4,5.3348
45,不乱/v,4,4,1,3,5.3348
46,出击/v,4,4,0,4,5.3348
47,车灯/n,4,4,0,4,5.3348
48,救星/n,4,4,3,1,5.3348
49,事变/n,4,4,0,4,5.3348
50,奇怪的是/i,4,4,3,1,5.3348
51,自动楼梯/n,4,4,4,0,5.3348
52,发难/v,4,4,1,3,5.3348
53,虚构/n,4,4,1,3,5.3348
54,游动/vn,4,4,4,0,5.3348
55,面具/n,4,4,2,2,5.3348
56,偃旗息鼓/i,4,4,0,4,5.3348
57,停顿下来/i,4,4,0,4,5.3348
58,灰溜溜/z,4,4,1,3,5.3348
