Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
1,9731,5616,4115,90.356346,，/x
2,5282,3200,2082,65.525871,的/uj
3,4626,2761,1865,61.527022,。/x
4,3980,1039,2941,58.553779,了/ul
5,2174,1289,885,42.474861,他/r
6,1187,739,448,31.241083,她/r
7,1213,525,688,30.954500,在/p
8,1107,948,159,29.934626,”/x
9,1183,642,541,29.715911,我/r
10,875,28,847,28.731886,出现/v
11,873,240,633,27.957460,又/d
12,809,205,604,24.332975,“/x
13,651,75,576,24.209548,从/p
14,542,14,528,22.578473,变得/v
15,586,190,396,22.489940,一个/m
16,495,34,461,21.609358,之间/f
17,480,14,466,21.200946,发现/v
18,485,78,407,20.822259,起来/v
19,503,403,100,20.196041,…/x
20,517,394,123,19.683200,着/uz
21,415,335,80,19.123659,会/v
22,435,62,373,18.503270,：/x
23,436,184,252,18.405335,地/uv
24,380,87,293,18.035700,一/m
25,405,281,124,17.598208,就/d
26,406,200,206,17.359312,说/v
27,393,255,138,17.328285,这/r
28,309,17,292,16.931423,听到/v
29,368,276,92,16.637577,？/x
30,334,206,128,16.623008,里/f
31,436,254,182,16.607614,是/v
32,299,282,17,16.337302,时候/n
33,288,249,39,16.094555,时/n
34,275,37,238,15.964557,一阵/m
35,339,134,205,15.947949,不/d
36,341,303,38,15.895368,！/x
37,291,110,181,15.847364,像/v
38,306,194,112,15.388055,上/f
39,307,204,103,15.277220,人/n
40,243,229,14,14.955852,这时/r
41,273,128,145,14.799687,他们/r
42,271,80,191,14.686048,来/v
43,287,173,114,14.677041,那/r
44,253,165,88,14.656673,中/f
45,274,143,131,14.595069,到/v
46,233,22,211,14.561487,一声/m
47,277,179,98,13.978508,也/d
48,260,142,118,13.953273,有/v
49,218,17,201,13.788154,向/p
50,299,196,103,13.783866,你/r
51,232,152,80,13.435664,"""/x"
52,191,3,188,13.336214,传来/v
53,188,2,186,13.330018,停住/v
54,198,17,181,13.236608,叫/v
55,200,93,107,13.127719,声音/n
56,215,91,124,12.902113,自己/r
57,187,175,12,12.814146,却/d
58,173,2,171,12.670699,变成/v
59,224,117,107,12.622443,和/c
60,174,33,141,12.586075,发生/v
61,206,119,87,12.534894,什么/r
62,164,5,159,12.428967,停止/v
63,174,33,141,12.368185,一种/m
64,174,40,134,12.278024,使/v
65,206,112,94,12.263863,去/v
66,160,2,158,12.231884,产生/n
67,164,13,151,12.082642,出/v
68,177,76,101,12.080557,—/x
69,187,108,79,12.002419,得/ud
70,154,4,150,11.988390,变/v
71,169,101,68,11.764950,这个/r
72,168,85,83,11.673059,而/c
73,178,103,75,11.659102,我们/r
74,148,133,15,11.566742,太/d
75,144,12,132,11.496196,听见/v
76,180,65,115,11.479129,、/x
77,161,102,59,11.477891,；/x
78,140,6,134,11.402878,停/v
79,164,122,42,11.364839,走/v
80,167,84,83,11.241358,对/p
81,150,119,31,11.088239,但/c
82,140,37,103,11.051076,一下/m
83,133,8,125,11.021229,发出/v
84,152,68,84,11.008456,被/p
85,129,12,117,10.736085,下来/t
86,144,97,47,10.728102,它/r
87,168,80,88,10.661820,都/d
88,166,31,135,10.647549,把/p
89,134,50,84,10.621206,一样/r
90,129,98,31,10.589924,然后/c
91,118,2,116,10.541169,冒/v
92,120,12,108,10.513392,一下子/m
93,123,81,42,10.375628,脸/n
94,125,54,71,10.338205,感到/v
95,126,71,55,10.300100,因为/c
96,117,30,87,10.257734,面前/f
97,120,54,66,10.248756,似的/u
98,130,69,61,10.247834,这样/r
99,121,30,91,10.207128,出来/v
100,109,7,102,10.053470,决定/v
101,104,2,102,9.884620,停下/v
102,117,98,19,9.877485,现在/t
103,115,103,12,9.764952,可是/c
104,100,5,95,9.737361,发现自己/l
105,107,73,34,9.527281,后/f
106,92,6,86,9.297178,停下来/v
107,101,83,18,9.172184,但是/c
108,94,90,4,9.110133,一天/m
109,96,18,78,8.986209,道/q
110,85,2,83,8.974985,冒出来/v
111,125,68,57,8.935387,没有/v
112,91,52,39,8.877065,仿佛/d
113,88,73,15,8.857862,之后/f
114,90,83,7,8.826060,为什么/r
115,95,71,24,8.806221,眼睛/n
116,90,59,31,8.760766,好像/v
117,107,74,33,8.712877,过/ug
118,108,51,57,8.711450,想/v
119,81,61,20,8.644860,脸色/n
120,81,5,76,8.628341,脚步/n
121,86,62,24,8.592310,接着/c
122,77,2,75,8.551898,中断/ns
123,86,41,45,8.482766,",/x"
124,94,56,38,8.353682,呢/y
125,75,17,58,8.336958,变化/vn
