rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
1,振衣/n,3,1,1,2,6.9551
2,几十丈/m,6,3,3,3,6.3701
3,甘当/v,6,3,3,3,6.3701
4,小卒/n,6,3,3,3,6.3701
5,静物/n,4,2,2,2,6.3701
6,下陷/v,4,2,2,2,6.3701
7,几顶/m,4,2,2,2,6.3701
8,受命/v,4,2,2,2,6.3701
9,旷课/n,4,2,2,2,6.3701
10,复职/v,4,2,0,4,6.3701
11,瓦块/n,4,2,2,2,6.3701
12,闹出笑话/l,4,2,4,0,6.3701
13,收小/n,4,2,0,4,6.3701
14,猫子/n,2,1,1,1,6.3701
15,逗人/n,2,1,0,2,6.3701
16,忽上忽下/l,2,1,2,0,6.3701
17,貌似/v,2,1,1,1,6.3701
18,裸现/v,2,1,1,1,6.3701
19,大施/n,2,1,1,1,6.3701
20,威迫/vn,2,1,1,1,6.3701
21,一百八十度/m,2,1,1,1,6.3701
22,饥荒/n,2,1,1,1,6.3701
23,一静/a,5,3,0,5,6.1071
24,不翼而飞/i,5,3,0,5,6.1071
25,展宽/v,5,3,2,3,6.1071
26,惧怕/v,5,3,0,5,6.1071
27,销声匿迹/i,6,4,3,3,5.9551
28,正/a,6,4,2,4,5.9551
29,云霄/nr,3,2,1,2,5.9551
30,了笑/v,3,2,1,2,5.9551
31,全庄/n,3,2,2,1,5.9551
32,人造/n,3,2,1,2,5.9551
33,拉长/v,7,5,2,5,5.8556
34,黑沉沉/z,4,3,2,2,5.7852
35,太空/n,4,3,2,2,5.7852
36,翻动/v,4,3,2,2,5.7852
37,横飞/v,4,3,2,2,5.7852
38,希腊/ns,4,3,2,2,5.7852
39,泥鳅/n,5,4,4,1,5.6921
40,紧跟着/l,11,9,4,7,5.6597
41,敌机/n,6,5,3,3,5.6332
42,蓝/a,10,9,6,4,5.5221
43,升/zg,8,8,3,5,5.3701
44,白光/nr,7,7,5,2,5.3701
45,心生一计/i,7,7,0,7,5.3701
46,一伙人/r,6,6,1,5,5.3701
47,有说有笑/l,6,6,3,3,5.3701
48,刮起/v,6,6,0,6,5.3701
49,砖头/n,6,6,3,3,5.3701
50,殷勤/nr,5,5,1,4,5.3701
51,兴起/v,5,5,0,5,5.3701
52,之言/r,5,5,0,5,5.3701
53,睡梦中/n,5,5,4,1,5.3701
54,张开嘴/nr,5,5,1,4,5.3701
55,彻悟/n,5,5,0,5,5.3701
56,插进来/v,5,5,0,5,5.3701
57,多出/m,5,5,0,5,5.3701
58,大悟/n,5,5,0,5,5.3701
59,话头/n,4,4,0,4,5.3701
60,马头/n,4,4,1,3,5.3701
61,红花/n,4,4,3,1,5.3701
62,若干/m,4,4,2,2,5.3701
63,一白/a,4,4,0,4,5.3701
64,刹车/n,4,4,0,4,5.3701
65,嘟嘟/o,4,4,0,4,5.3701
66,稍停/d,4,4,2,2,5.3701
67,亲近/d,4,4,1,3,5.3701
68,激昂/a,4,4,1,3,5.3701
69,出人意外/i,4,4,2,2,5.3701
70,杰/nr,4,4,4,0,5.3701
71,苏班比诺/ns,4,4,4,0,5.3701
72,枪响/vn,4,4,0,4,5.3701
73,行德/n,4,4,4,0,5.3701
74,孩子气/n,4,4,2,2,5.3701
75,平静下来/i,4,4,1,3,5.3701
76,方亚丹/nr,4,4,3,1,5.3701
77,挡住/v,4,4,0,4,5.3701
78,变卦/v,4,4,0,4,5.3701
79,开窍/v,4,4,0,4,5.3701
80,拥有/v,4,4,0,4,5.3701
81,变白/v,4,4,1,3,5.3701
82,哽咽/v,4,4,0,4,5.3701
83,地会/n,4,4,1,3,5.3701
84,妖妖/n,4,4,3,1,5.3701
85,希冀/nr,4,4,2,2,5.3701
86,急中生智/i,4,4,2,2,5.3701
87,似/u,4,4,4,0,5.3701
88,孤单/a,4,4,2,2,5.3701
89,军乐队/n,3,3,3,0,5.3701
90,瑟瑟/z,3,3,0,3,5.3701
91,高塔/nr,3,3,2,1,5.3701
92,平民/n,3,3,0,3,5.3701
93,不可开交/i,3,3,3,0,5.3701
94,闪念/n,3,3,0,3,5.3701
95,腾沸/i,3,3,0,3,5.3701
96,诗者/n,3,3,3,0,5.3701
97,几转/n,3,3,3,0,5.3701
98,发痒/v,3,3,0,3,5.3701
99,正自/d,3,3,3,0,5.3701
100,凤羽/nr,3,3,1,2,5.3701
101,水泡/n,3,3,1,2,5.3701
102,窥探/v,3,3,3,0,5.3701
103,譬如说/l,3,3,3,0,5.3701
104,晌午/t,3,3,3,0,5.3701
105,狩矢/n,3,3,3,0,5.3701
106,笔下/n,3,3,1,2,5.3701
107,盼望着/n,3,3,3,0,5.3701
108,刘絮云/nr,3,3,3,0,5.3701
109,徐夏子/nr,3,3,2,1,5.3701
110,屋角/n,3,3,1,2,5.3701
111,一大批/m,3,3,0,3,5.3701
112,马托/nr,3,3,2,1,5.3701
113,往上/t,3,3,0,3,5.3701
114,仰天/nr,3,3,1,2,5.3701
115,退缩/v,3,3,0,3,5.3701
116,哽住/v,3,3,0,3,5.3701
117,中途/b,3,3,3,0,5.3701
118,倾倒/v,3,3,1,2,5.3701
119,毛/n,3,3,2,1,5.3701
120,绘画/n,3,3,2,1,5.3701
121,光顾/v,3,3,0,3,5.3701
122,出点/n,3,3,1,2,5.3701
123,梅西/nr,3,3,1,2,5.3701
124,切齿/n,3,3,1,2,5.3701
125,韩丽婷/nr,3,3,3,0,5.3701
126,勒住/v,3,3,0,3,5.3701
127,红唇/n,3,3,3,0,5.3701
128,挂断/v,3,3,3,0,5.3701
129,退回来/l,3,3,0,3,5.3701
130,奇想/n,3,3,0,3,5.3701
131,起飞/v,3,3,3,0,5.3701
132,畏缩/v,3,3,0,3,5.3701
133,一块钱/n,3,3,0,3,5.3701
134,往里/t,3,3,0,3,5.3701
135,跳开/v,3,3,0,3,5.3701
136,明生/t,3,3,2,1,5.3701
137,三下/m,3,3,2,1,5.3701
138,丽扎/nr,3,3,3,0,5.3701
139,怪叫/v,3,3,0,3,5.3701
140,睡醒/v,3,3,2,1,5.3701
141,琴谱/n,3,3,2,1,5.3701
142,厅堂/n,3,3,3,0,5.3701
143,勤快/a,3,3,2,1,5.3701
144,李士群/nr,3,3,3,0,5.3701
145,租房/n,3,3,2,1,5.3701
146,宾客/nr,3,3,3,0,5.3701
147,咔/o,3,3,0,3,5.3701
148,嚷出/v,3,3,1,2,5.3701
149,起嗽/v,3,3,0,3,5.3701
150,邂逅/v,3,3,2,1,5.3701
151,感兴趣/n,3,3,0,3,5.3701
152,象发/v,3,3,0,3,5.3701
153,当上/t,3,3,0,3,5.3701
154,恳切地/n,3,3,0,3,5.3701
155,恍悟/v,3,3,0,3,5.3701
156,内疚/a,3,3,1,2,5.3701
157,藤/n,3,3,2,1,5.3701
158,剔着/v,3,3,3,0,5.3701
159,抽身/v,3,3,0,3,5.3701
160,君子/n,2,2,1,1,5.3701
161,咕咚/o,2,2,0,2,5.3701
162,嗤/zg,2,2,0,2,5.3701
163,芙琳/nrt,2,2,2,0,5.3701
164,大转弯/n,2,2,1,1,5.3701
165,闷棍/n,2,2,2,0,5.3701
166,手舞足蹈/i,2,2,1,1,5.3701
167,锁眼/v,2,2,2,0,5.3701
168,机括/v,2,2,0,2,5.3701
169,长凳/n,2,2,2,0,5.3701
170,卢昂/nr,2,2,1,1,5.3701
171,情意/n,2,2,2,0,5.3701
172,痴立/v,2,2,2,0,5.3701
173,绕到/v,2,2,1,1,5.3701
174,关好/v,2,2,2,0,5.3701
175,截获/v,2,2,0,2,5.3701
176,踉跄/z,2,2,0,2,5.3701
177,遮掩/v,2,2,1,1,5.3701
178,屏障/n,2,2,1,1,5.3701
179,怨声/n,2,2,0,2,5.3701
180,眼尖/n,2,2,1,1,5.3701
181,鱼盆/n,2,2,2,0,5.3701
182,舆论/n,2,2,2,0,5.3701
183,背负/v,2,2,0,2,5.3701
184,拆除/v,2,2,1,1,5.3701
185,翩然/z,2,2,2,0,5.3701
186,晴天霹雳/i,2,2,1,1,5.3701
187,震响/vn,2,2,1,1,5.3701
188,几副/m,2,2,0,2,5.3701
189,凝想/v,2,2,2,0,5.3701
190,热力/n,2,2,0,2,5.3701
191,王天白/nr,2,2,2,0,5.3701
192,西张/nr,2,2,2,0,5.3701
193,翅儿/n,2,2,0,2,5.3701
194,挺身/v,2,2,0,2,5.3701
195,近几天/l,2,2,2,0,5.3701
196,冲过去/v,2,2,1,1,5.3701
197,救出/v,2,2,2,0,5.3701
198,采夫/nr,2,2,1,1,5.3701
199,巡视/v,2,2,2,0,5.3701
200,纸包/n,2,2,2,0,5.3701
201,窃窃私语/i,2,2,1,1,5.3701
202,车站里/n,2,2,1,1,5.3701
203,走下/v,2,2,2,0,5.3701
204,病床/n,2,2,2,0,5.3701
205,低泣/v,2,2,0,2,5.3701
206,不答/v,2,2,2,0,5.3701
207,圣旨/n,2,2,0,2,5.3701
208,窸/y,2,2,0,2,5.3701
209,昏眩/v,2,2,0,2,5.3701
210,16/m,2,2,1,1,5.3701
211,挥挥手/n,2,2,1,1,5.3701
212,打门/v,2,2,0,2,5.3701
213,念佛/n,2,2,0,2,5.3701
214,喧响/vn,2,2,0,2,5.3701
215,不往/d,2,2,0,2,5.3701
216,神儿/n,2,2,2,0,5.3701
217,闯进来/l,2,2,0,2,5.3701
218,下大/v,2,2,0,2,5.3701
219,阶梯/n,2,2,2,0,5.3701
220,下定决心/l,2,2,0,2,5.3701
221,开了个/n,2,2,0,2,5.3701
222,徒步/d,2,2,2,0,5.3701
223,闷雷/n,2,2,2,0,5.3701
224,东城/ns,2,2,1,1,5.3701
225,北岸/f,2,2,1,1,5.3701
226,技巧/n,2,2,2,0,5.3701
227,发音/n,2,2,1,1,5.3701
228,感到恐惧/i,2,2,0,2,5.3701
229,康妮/nr,2,2,2,0,5.3701
230,一大半/m,2,2,2,0,5.3701
231,凑数/v,2,2,2,0,5.3701
232,那般/r,2,2,1,1,5.3701
233,展览/v,2,2,2,0,5.3701
234,水纹/n,2,2,2,0,5.3701
235,卡什/nrt,2,2,1,1,5.3701
236,郑生/nr,2,2,2,0,5.3701
237,忘形/v,2,2,1,1,5.3701
238,主人翁/n,2,2,1,1,5.3701
239,黄脸/nr,2,2,1,1,5.3701
240,平淡无奇/i,2,2,2,0,5.3701
241,台钟/n,2,2,0,2,5.3701
242,步来/v,2,2,0,2,5.3701
243,死掉/v,2,2,0,2,5.3701
244,电闪雷鸣/l,2,2,0,2,5.3701
245,接济/n,2,2,2,0,5.3701
246,调头/v,2,2,1,1,5.3701
247,电视机/n,2,2,2,0,5.3701
248,多重/m,2,2,2,0,5.3701
249,乱飞/v,2,2,2,0,5.3701
250,面熟/v,2,2,2,0,5.3701
251,右转/n,2,2,2,0,5.3701
252,中跳/ns,2,2,0,2,5.3701
253,一饮而尽/i,2,2,2,0,5.3701
254,买下/v,2,2,1,1,5.3701
255,果仁/nr,2,2,2,0,5.3701
256,饼/n,2,2,2,0,5.3701
257,莫扎特/nr,2,2,1,1,5.3701
258,桂枝/nr,2,2,0,2,5.3701
259,翻出/v,2,2,0,2,5.3701
260,劝导/v,2,2,1,1,5.3701
261,车马/n,2,2,2,0,5.3701
262,溜出/v,2,2,0,2,5.3701
263,垂花门/n,2,2,1,1,5.3701
264,祸事/n,2,2,1,1,5.3701
265,推辞/v,2,2,2,0,5.3701
266,取暖/v,2,2,2,0,5.3701
267,钻出/v,2,2,0,2,5.3701
268,念起来/v,2,2,0,2,5.3701
269,从树林/nr,2,2,0,2,5.3701
270,岳/n,2,2,2,0,5.3701
271,几弹/n,2,2,2,0,5.3701
272,默想/v,2,2,2,0,5.3701
273,军长/n,2,2,2,0,5.3701
274,梗/v,2,2,1,1,5.3701
275,飞进/v,2,2,0,2,5.3701
276,从头到脚/l,2,2,1,1,5.3701
277,轻手轻脚/z,2,2,0,2,5.3701
278,干笑/v,2,2,1,1,5.3701
279,九成/m,2,2,1,1,5.3701
