Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
1,10348,6438,3910,93.121247,，/x
2,4414,3206,1208,60.045998,。/x
3,4404,2611,1793,59.606395,的/uj
4,3855,1387,2468,57.498993,了/ul
5,2056,1307,749,41.567339,他/r
6,1257,802,455,32.432437,她/r
7,1283,1177,106,32.221844,”/x
8,1256,761,495,31.343981,我/r
9,1086,402,684,29.188500,在/p
10,928,192,736,28.687605,又/d
11,811,7,804,27.709703,想起/v
12,721,92,629,25.595320,起来/v
13,903,171,732,25.472571,“/x
14,771,53,718,25.145899,：/x
15,696,503,193,23.445423,着/uz
16,673,248,425,23.132249,说/v
17,609,122,487,22.930044,一个/m
18,543,191,352,21.250008,地/uv
19,478,117,361,20.299484,一/m
20,438,28,410,20.295354,想到/v
21,463,222,241,19.693734,到/v
22,453,133,320,19.267405,有/v
23,416,108,308,19.151368,想/v
24,435,120,315,18.831426,来/v
25,428,381,47,18.451265,…/x
26,360,16,344,18.365821,听见/v
27,422,378,44,17.468365,！/x
28,349,35,314,17.391190,从/p
29,334,189,145,16.587548,里/f
30,290,16,274,16.428812,听到/v
31,286,4,282,16.338228,发现/v
32,284,16,268,16.186591,感到/v
33,280,47,233,16.133555,一阵/m
34,304,78,226,15.912977,自己/r
35,281,270,11,15.847159,时候/n
36,348,290,58,15.834461,？/x
37,337,138,199,15.795848,这/r
38,315,192,123,15.699351,上/f
39,314,165,149,15.371809,人/n
40,235,27,208,14.607344,一声/m
41,274,25,249,14.585431,把/p
42,299,123,176,14.555208,就/d
43,290,149,141,14.485108,不/d
44,225,218,7,14.398766,这时/r
45,252,214,38,14.394065,走/v
46,260,134,126,14.370131,什么/r
47,246,25,221,14.329363,对/p
48,267,126,141,14.027383,那/r
49,348,170,178,13.987529,是/v
50,268,165,103,13.982519,去/v
51,205,190,15,13.613639,时/n
52,230,120,110,13.477420,得/ud
53,201,19,182,13.215598,叫/v
54,259,146,113,13.079731,也/d
55,191,108,83,12.679614,中/f
56,184,136,48,12.504104,；/x
57,183,60,123,12.475023,声音/n
58,148,2,146,11.730275,变得/v
59,149,32,117,11.485558,起/v
60,174,58,116,11.475263,要/v
61,139,7,132,11.324300,出现/v
62,148,23,125,11.145967,道/q
63,134,91,43,11.018158,一天/m
64,144,49,95,10.970408,笑/v
65,157,99,58,10.932224,"""/x"
66,166,110,56,10.902410,没有/v
67,135,73,62,10.884380,心里/s
68,143,93,50,10.799718,会/v
69,142,52,90,10.788253,事/n
70,131,17,114,10.735734,一种/m
71,124,11,113,10.640478,一件/m
72,129,44,85,10.555267,似的/u
73,118,17,101,10.511105,之间/f
74,130,117,13,10.443254,正/d
75,120,9,111,10.424731,有人/r
76,126,48,78,10.322457,一下/m
77,143,73,70,10.272004,他们/r
78,158,77,81,10.259656,和/c
79,112,3,109,10.208325,传来/v
80,141,88,53,10.119155,看/v
81,127,45,82,10.108725,像/v
82,117,26,91,9.976187,出/v
83,120,66,54,9.839832,这个/r
84,117,37,80,9.817482,看见/v
85,126,91,35,9.788272,过/ug
86,147,90,57,9.761238,都/d
87,102,10,92,9.637461,明白/nr
88,114,52,62,9.562942,听/v
89,110,42,68,9.450699,大/a
90,102,88,14,9.340604,正在/t
91,106,29,77,9.262333,向/p
92,99,85,14,9.257322,这里/r
93,106,93,13,9.229455,却/d
94,102,52,50,9.199358,下/f
95,102,61,41,9.199358,眼睛/n
96,178,100,78,9.046656,你/r
97,87,1,86,9.003356,停住/v
98,99,91,8,8.970580,可是/c
99,91,67,24,8.860126,不知/v
100,101,49,52,8.856584,而/c
101,99,40,59,8.846650,觉得/v
102,85,6,79,8.836659,变成/v
103,96,83,13,8.815820,但/c
104,94,75,19,8.800085,现在/t
105,102,78,24,8.579310,好/a
106,85,72,13,8.574408,为什么/r
107,78,3,75,8.563471,意识/n
108,80,6,74,8.546899,大声/m
109,97,54,43,8.520739,这样/r
110,85,26,59,8.451151,头/n
111,85,35,50,8.448528,好像/v
112,78,78,0,8.429326,正要/a
113,75,1,74,8.408986,响起/v
114,89,46,43,8.408824,—/x
115,84,45,39,8.331522,话/n
116,72,3,69,8.240230,发觉/v
117,89,36,53,8.203792,便/d
118,77,15,62,8.179804,哭/v
119,86,33,53,8.157732,站/v
120,73,10,63,8.153484,不见/v
121,74,65,9,8.102026,一会儿/m
122,79,13,66,8.074834,很/zg
123,76,57,19,8.074360,看着/v
124,79,66,13,8.047631,但是/c
125,78,36,42,8.032366,脸/n
126,79,41,38,8.004107,使/v
127,96,49,47,7.962000,我们/r
128,92,39,53,7.877545,、/x
129,75,65,10,7.858988,后/f
130,80,49,31,7.819734,它/r
131,71,53,18,7.783396,说话/v
132,67,17,50,7.712737,后面/f
133,69,20,49,7.701193,一句/m
134,77,29,48,7.700369,个/q
135,71,32,39,7.660011,事情/n
136,65,41,24,7.651402,心中/s
137,75,61,14,7.644014,怎么/r
138,69,48,21,7.634247,脸上/s
139,72,28,44,7.587708,那个/r
140,63,3,60,7.583897,变/v
141,71,52,19,7.533755,因为/c
142,82,61,21,7.464038,呢/y
143,61,60,1,7.460434,这时候/r
144,61,3,58,7.413998,发出/v
145,65,13,52,7.393492,一只/m
146,68,28,40,7.381257,跑/v
147,60,26,34,7.371398,眼前/t
148,65,11,54,7.336512,将/d
149,65,33,32,7.312521,这么/r
150,58,5,53,7.279248,亮/v
151,60,58,2,7.274635,之后/f
152,64,49,15,7.268607,地方/n
153,71,34,37,7.243942,很/d
154,87,45,42,7.230301,还/d
155,67,27,40,7.219444,出来/v
156,59,5,54,7.158620,喊/v
157,62,18,44,7.097134,手/n
158,63,30,33,7.093462,似乎/d
159,55,34,21,6.985852,门/n
160,64,54,10,6.939177,才/d
161,55,51,4,6.930429,后来/t
162,52,11,41,6.905986,主意/n
163,54,6,48,6.897705,发生/v
164,55,12,43,6.888046,一片/m
165,52,9,43,6.872457,冒/v
166,70,52,18,6.843645,知道/v
167,52,5,47,6.842281,停/v
168,55,16,39,6.832623,过来/t
169,67,28,39,6.829536,已经/d
170,55,10,45,6.809801,开/v
171,53,11,42,6.801865,感觉/n
172,55,37,18,6.770679,前/f
173,57,36,21,6.768426,先生/n
174,49,9,40,6.761671,一动/d
175,58,38,20,6.717315,望/v
176,49,45,4,6.685682,想着/v
177,62,12,50,6.685668,用/p
178,49,47,2,6.664958,一会/m
179,48,4,44,6.638547,停止/v
180,54,36,18,6.637775,之/u
181,47,0,47,6.629942,产生/n
182,49,24,25,6.616601,旁边/f
183,53,45,8,6.592633,然后/c
184,57,38,19,6.589086,东西/ns
185,52,27,25,6.577400,坐/v
186,56,30,26,6.575415,大家/n
187,51,14,37,6.569256,下来/t
188,52,29,23,6.533812,今天/t
189,50,42,8,6.517137,刚/d
190,49,31,18,6.461169,心/n
191,54,23,31,6.450231,两个/m
192,50,25,25,6.417976,开始/v
193,50,23,27,6.400880,仿佛/d
194,56,31,25,6.384788,做/v
195,49,21,28,6.381727,父亲/n
196,45,39,6,6.362192,童霜威/nr
197,47,2,45,6.358381,问道/n
198,46,13,33,6.318894,前面/f
199,44,3,41,6.316133,抬起/v
200,49,25,24,6.288467,女人/n
201,51,31,20,6.284862,的话/u
202,47,10,37,6.270211,说道/v
203,47,37,10,6.252578,时/ng
204,42,5,37,6.230778,改变/v
205,48,34,14,6.230236,过去/t
206,44,13,31,6.166688,进来/v
207,50,25,25,6.154688,一样/r
208,50,35,15,6.147850,吃/v
209,49,11,38,6.136490,问/v
210,45,42,3,6.099079,以后/f
211,45,28,17,6.099079,·/x
212,43,25,18,6.063360,",/x"
213,42,31,11,6.059161,家霆/n
214,47,18,29,6.040972,小/a
215,41,32,9,6.021747,觉民/v
216,39,14,25,6.016572,身后/f
217,46,23,23,6.005183,孩子/n
218,42,26,16,5.969622,觉新/v
219,40,8,32,5.953732,响/v
220,40,15,25,5.942263,眼泪/n
221,38,7,31,5.893780,脚步声/n
222,50,46,4,5.874303,吗/y
223,41,21,20,5.866930,一些/m
224,43,27,16,5.853192,这些/r
225,57,15,42,5.846108,给/p
226,38,8,30,5.823179,一股/m
227,39,27,12,5.815248,好象/n
228,36,2,34,5.794485,大笑/v
229,38,10,28,5.791801,外面/f
230,52,10,42,5.786109,被/p
231,43,8,35,5.775762,带/v
232,37,4,33,5.764772,拍/v
233,41,21,20,5.738546,看看/v
234,36,5,31,5.705831,念头/n
235,42,14,28,5.693544,打/v
236,34,1,33,5.681676,心血来潮/i
237,38,20,18,5.662368,身子/n
238,40,15,25,5.651721,一切/r
239,36,5,31,5.641355,似地/d
240,41,31,10,5.632817,太太/n
241,34,33,1,5.598745,冬子/n
242,40,22,18,5.590554,有点/n
243,40,10,30,5.590554,回来/v
244,40,14,26,5.586731,看到/v
245,39,7,32,5.575207,跳/v
246,35,9,26,5.548261,低声/n
247,38,13,25,5.536856,许多/m
248,39,18,21,5.532619,母亲/n
249,36,11,25,5.532553,面前/f
250,34,4,30,5.532401,背后/f
251,43,29,14,5.525035,多/m
252,33,6,27,5.517282,一下子/m
253,37,29,8,5.510379,最后/f
254,37,22,15,5.490504,一次/m
255,41,15,26,5.481777,倒/v
256,33,12,21,5.470984,开口/n
257,34,9,25,5.466056,动/v
258,38,7,31,5.442722,住/v
259,35,26,9,5.437915,-/x
260,35,14,21,5.425654,声/n
261,33,21,12,5.391015,脸色/n
262,35,9,26,5.388873,回到/v
263,36,25,11,5.359275,（/x
264,43,21,22,5.340677,再/d
265,38,13,25,5.332900,一点/m
266,33,20,13,5.323673,问题/n
267,38,22,16,5.317211,更/d
268,34,9,25,5.316781,刚才/t
269,32,4,28,5.314922,脚步/n
270,30,0,30,5.309481,接到/v
271,32,5,27,5.289277,掉/v
272,37,22,15,5.275860,已/d
273,34,20,14,5.262876,象/n
274,30,2,28,5.252095,大叫/v
275,34,18,16,5.242143,）/x
276,38,24,14,5.238766,于是/c
277,38,25,13,5.230922,们/k
278,31,8,23,5.229045,显得/v
279,30,17,13,5.216780,房门/n
280,35,28,7,5.209050,那里/r
281,30,10,20,5.194708,门外/s
282,31,17,14,5.185620,那边/r
283,33,15,18,5.163734,身上/s
284,32,23,9,5.161052,一眼/m
285,33,10,23,5.155317,如果/c
286,30,2,28,5.146151,听说/v
287,32,20,12,5.143955,朋友/n
288,30,11,19,5.137322,转/v
289,30,10,20,5.128493,决定/v
290,29,7,22,5.124757,叹/v
291,28,3,25,5.122440,发现自己/l
292,30,5,25,5.119665,得到/v
293,31,12,19,5.111797,十分/m
