rank_mi,rank_t,freq,Freq(L),mi,t,collocate
11011,1,9731,5616,3.5729,90.356346,，/x
11515,2,5282,3200,3.3452,65.525871,的/uj
11475,3,4626,2761,3.3901,61.527022,。/x
11305,5,2174,1289,3.4895,42.474861,他/r
9275,4,3980,1039,3.7987,58.553779,了/ul
12415,8,1107,948,3.3177,29.934626,”/x
11427,6,1187,739,3.4232,31.241083,她/r
12599,7,1213,525,3.1685,30.9545,在/p
12413,19,503,403,3.3291,20.196041,…/x
8647,21,415,335,4.029,19.123659,会/v
8422,32,299,282,4.1795,16.337302,时候/n
8342,33,288,249,4.2759,16.094555,时/n
8388,11,873,240,4.2167,27.95746,又/d
5619,40,243,229,4.623,14.955852,这时/r
11328,30,334,206,3.4671,16.623008,里/f
12879,38,306,194,3.055,15.388055,上/f
9258,15,586,190,3.8171,22.48994,一个/m
12853,23,436,184,3.0765,18.405335,地/uv
8982,57,187,175,3.99,12.814146,却/d
10804,44,253,165,3.6704,14.656673,中/f
12849,51,232,152,3.0843,13.435664,"""/x"
12851,45,274,143,3.0797,14.595069,到/v
5876,74,148,133,4.3446,11.566742,太/d
12460,41,273,128,3.2614,14.799687,他们/r
12736,79,164,122,3.1513,11.364839,走/v
11458,81,150,119,3.4013,11.088239,但/c
9260,37,291,110,3.8158,15.847364,像/v
12896,69,187,108,3.0315,12.002419,得/ud
11316,103,115,103,3.4834,9.764952,可是/c
11476,77,161,102,3.3896,11.477891,；/x
11471,71,169,101,3.3959,11.76495,这个/r
9151,90,129,98,3.8866,10.589924,然后/c
11274,102,117,98,3.5257,9.877485,现在/t
12492,86,144,97,3.238,10.728102,它/r
9272,55,200,93,3.8013,13.127719,声音/n
12877,56,215,91,3.0579,12.902113,自己/r
8639,108,94,90,4.0502,9.110133,一天/m
10754,24,380,87,3.741,18.0357,一/m
12412,72,168,85,3.3306,11.673059,而/c
9236,114,90,83,3.8437,8.82606,为什么/r
11276,107,101,83,3.5173,9.172184,但是/c
9024,93,123,81,3.9554,10.375628,脸/n
12561,42,271,80,3.2124,14.686048,来/v
12585,127,87,79,3.1928,8.307322,怎么/r
8391,18,485,78,4.1973,20.822259,起来/v
11394,68,177,76,3.4427,12.080557,—/x
8336,13,651,75,4.289,24.209548,从/p
10810,105,107,73,3.6627,9.527281,后/f
8425,113,88,73,4.1649,8.857862,之后/f
10896,95,126,71,3.6013,10.3001,因为/c
11496,115,95,71,3.3733,8.806221,眼睛/n
12418,98,130,69,3.3046,10.247834,这样/r
12507,84,152,68,3.223,11.008456,被/p
4895,134,71,64,5.127,8.185027,来得/v
11320,138,76,64,3.4795,7.936208,可/v
9295,121,86,62,3.7668,8.59231,接着/c
12738,22,435,62,3.1477,18.50327,：/x
5588,119,81,61,4.6635,8.64486,脸色/n
11516,151,72,60,3.3449,7.650154,先生/n
10769,116,90,59,3.7078,8.760766,好像/v
12426,161,66,58,3.2971,7.297524,地方/n
11058,173,60,57,3.5413,7.080631,」/x
10768,148,69,57,3.7087,7.671281,心里/s
9235,131,78,57,3.8455,8.217363,这里/r
9000,97,120,54,3.9563,10.248756,似的/u
10755,94,125,54,3.7308,10.338205,感到/v
12818,186,61,54,3.1057,6.902943,正在/t
11012,149,70,52,3.5693,7.661776,父亲/n
9234,112,91,52,3.8483,8.877065,仿佛/d
10897,89,134,50,3.6,10.621206,一样/r
8990,195,52,47,3.98,6.754117,后来/t
12573,206,53,46,3.1986,6.487114,可能/v
10752,154,67,45,3.7427,7.573894,不知/v
12563,157,69,45,3.2097,7.408792,这种/r
11277,145,73,45,3.5134,7.795815,事情/n
10809,128,81,44,3.6635,8.289719,话/n
12446,188,59,44,3.275,6.887618,看着/v
11474,159,66,43,3.3906,7.349372,似乎/d
11301,141,75,43,3.4976,7.893498,手/n
12825,197,57,42,3.0963,6.667023,便/d
11519,216,49,42,3.3348,6.306237,时/ng
8424,212,46,42,4.1719,6.40605,有时/r
9261,219,45,42,3.8155,6.231733,一会儿/m
11052,123,86,41,3.5517,8.482766,",/x"
11064,139,75,41,3.5302,7.910664,一切/r
12465,194,57,40,3.2489,6.755633,·/x
12829,211,53,40,3.0912,6.425853,前/f
12899,225,48,40,3.0189,6.073471,?/x
9208,64,174,40,3.853,12.278024,使/v
11517,133,83,40,3.3392,8.210228,觉得/v
12769,165,67,40,3.1202,7.243949,看到/v
12586,187,60,39,3.1919,6.898304,这些/r
12598,152,74,38,3.1693,7.646067,那个/r
12733,169,65,38,3.1526,7.155653,东西/ns
5571,34,275,37,4.7446,15.964557,一阵/m
10753,160,63,37,3.7423,7.344143,感觉/n
11472,207,51,37,3.3926,6.461405,于是/c
9037,82,140,37,3.9211,11.051076,一下/m
11520,269,37,36,3.3348,5.479906,生活/vn
11492,180,60,36,3.3775,7.000663,女人/n
,,44362,,,,
