rank_mi,rank_t,freq,Freq(L),mi,t,collocate
11557,1,10348,6438,3.5635,93.121247,，/x
12032,2,4414,3206,3.3777,60.045998,。/x
12959,3,4404,2611,3.2961,59.606395,的/uj
11275,4,3855,1387,3.7579,57.498993,了/ul
11538,5,2056,1307,3.586,41.567339,他/r
12926,7,1283,1177,3.3158,32.221844,”/x
11770,6,1257,802,3.5525,32.432437,她/r
13311,8,1256,761,3.1131,31.343981,我/r
13234,15,696,503,3.1674,23.445423,着/uz
13286,9,1086,402,3.1294,29.1885,在/p
13092,25,428,381,3.2092,18.451265,…/x
8975,35,281,270,4.194,15.847159,时候/n
13093,16,673,248,3.2067,23.132249,说/v
11768,21,463,222,3.5606,19.693734,到/v
6104,44,225,218,4.6409,14.398766,这时/r
12003,45,252,214,3.4226,14.394065,走/v
9165,10,928,192,4.1008,28.687605,又/d
13308,38,315,192,3.1148,15.699351,上/f
11837,18,543,191,3.5051,21.250008,地/uv
8834,51,205,190,4.3457,13.613639,时/n
11986,29,334,189,3.4364,16.587548,里/f
11355,56,184,136,3.677,12.504104,；/x
13095,46,260,134,3.2002,14.370131,什么/r
12025,22,453,133,3.3999,19.267405,有/v
9869,17,609,122,3.8195,22.930044,一个/m
13235,52,230,120,3.1671,13.47742,得/ud
12888,24,435,120,3.3644,18.831426,来/v
9877,19,478,117,3.8054,20.299484,一/m
11555,74,130,117,3.5723,10.443254,正/d
11527,55,191,108,3.5988,12.679614,中/f
9537,23,416,108,4.0344,19.151368,想/v
12887,68,143,93,3.3676,10.799718,会/v
12989,93,106,93,3.2715,9.229455,却/d
6366,12,721,92,4.4179,25.59532,起来/v
12892,98,99,91,3.3449,8.97058,可是/c
6375,63,134,91,4.3755,11.018158,一天/m
11284,90,102,88,3.7342,9.340604,正在/t
9853,92,99,85,3.8447,9.257322,这里/r
12922,103,96,83,3.3185,8.81582,但/c
11826,34,304,78,3.5174,15.912977,自己/r
6356,112,78,78,4.4559,8.429326,正要/a
11984,104,94,75,3.4369,8.800085,现在/t
9590,67,135,73,3.9834,10.88438,心里/s
9856,106,85,72,3.837,8.574408,为什么/r
9874,99,91,67,3.8118,8.860126,不知/v
12956,83,120,66,3.2969,9.839832,这个/r
12022,124,79,66,3.4025,8.047631,但是/c
9164,121,74,65,4.1039,8.102026,一会儿/m
11990,129,75,65,3.4341,7.858988,后/f
13334,137,75,61,3.0912,7.644014,怎么/r
11911,95,102,61,3.488,9.199358,眼睛/n
11346,57,183,60,3.6837,12.475023,声音/n
6342,143,61,60,4.4807,7.460434,这时候/r
9536,151,60,58,4.0386,7.274635,之后/f
11273,123,76,57,3.7601,8.07436,看着/v
12013,14,771,53,3.4052,25.145899,：/x
11302,131,71,53,3.7125,7.783396,说话/v
12023,69,142,52,3.4009,10.788253,事/n
11910,94,102,52,3.488,9.199358,下/f
13002,88,114,52,3.2605,9.562942,听/v
13066,141,71,52,3.2391,7.533755,因为/c
9723,161,55,51,3.9323,6.930429,后来/t
11774,64,144,49,3.5429,10.970408,笑/v
11965,152,64,49,3.4513,7.268607,地方/n
13352,100,101,49,3.0742,8.856584,而/c
11409,76,126,48,3.6366,10.322457,一下/m
11492,138,69,48,3.6269,7.634247,脸上/s
6374,178,49,47,4.3849,6.664958,一会/m
5566,33,280,47,4.8025,16.133555,一阵/m
13094,114,89,46,3.202,8.408824,—/x
12015,183,53,45,3.4046,6.592633,然后/c
6343,176,49,45,4.4771,6.685682,想着/v
11959,115,84,45,3.4587,8.331522,话/n
12985,81,127,45,3.2793,10.108725,像/v
9865,72,129,44,3.823,10.555267,似的/u
11956,210,45,42,3.4611,6.099079,以后/f
12896,89,110,42,3.3377,9.450699,大/a
11358,189,50,42,3.6741,6.517137,刚/d
12906,126,79,41,3.3296,8.004107,使/v
8849,136,65,41,4.2945,7.651402,心中/s
13227,101,99,40,3.173,8.84665,觉得/v
8862,196,45,39,4.277,6.362192,童霜威/nr
13342,175,58,38,3.0835,6.717315,望/v
11836,203,47,37,3.5069,6.252578,时/ng
11804,172,55,37,3.5221,6.770679,前/f
11987,84,117,37,3.4364,9.817482,看见/v
12987,173,57,36,3.2723,6.768426,先生/n
12033,180,54,36,3.3701,6.637775,之/u
11930,125,78,36,3.4657,8.032366,脸/n
11549,111,85,35,3.5799,8.448528,好像/v
9831,28,349,35,3.8558,17.39119,从/p
